ID,SOURCE_ID,TARGET_ID,ARC_LENGTH
1,9180,9190,3.8
4,9171,9180,34.2
5,9031,9142,11.8
6,9023,9026,12.5
7,9221,9321,46.3
8,9301,9180,36.8
9,9135,9301,34
10,9937,9135,12.4
11,9142,9143,1.5
12,9143,9937,5
13,9190,9023,4.7
14,9180,9023,5
15,9301,9321,18.2
16,9221,9171,21.1
18,9244,9320,10.4
19,9321,9320,17
20,9301,9984,29.8
21,9244,9221,18.9
22,9984,9135,33.4
23,9462,9984,41
24,9462,9863,31.4
25,9863,9984,47.9
26,9135,9462,58.6
27,9135,9863,59.9
28,9109,9031,37
29,9109,9143,31.1
30,9109,9144,11.3
31,9144,9031,26.6
32,9144,9032,11.7
33,9121,9032,14.2
34,9121,9031,26.5
35,9121,9285,9
36,9285,9147,48.4
37,9147,9031,34.1
38,9285,9031,35.5
39,9147,9629,41.3
41,9191,9629,17
42,9629,9190,27.3
43,9830,9221,11
44,9830,9043,5.8
45,9043,9221,8.8
46,9043,9151,10.8
47,9150,9151,3
48,9161,9150,20.7
49,9164,9161,37.6
50,9204,9164,28.9
51,9360,9164,15
52,9361,9360,2.4
53,9352,9361,4.5
54,9163,9352,6.6
55,9026,9629,24.7
56,9026,9147,22.3
57,9026,9301,57.9
